,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
71,3.046260356903076,0.16799661468592483,0.7675630569458007,0.04426166932442841,0.37500000624999996,5.05,poly,"{'C': 0.37500000624999996, 'gamma': 5.05, 'kernel': 'poly'}",0.38222222222222224,0.35,0.4088888888888889,0.3488888888888889,0.3844444444444444,0.37488888888888894,0.02278834443252315,48,1.0,1.0,1.0,1.0,1.0,1.0,0.0
72,2.286699676513672,0.07984282640537224,0.7728912830352783,0.017298263164941076,0.37500000624999996,7.525,linear,"{'C': 0.37500000624999996, 'gamma': 7.525, 'kernel': 'linear'}",0.4866666666666667,0.4588888888888889,0.48777777777777775,0.4411111111111111,0.4922222222222222,0.47333333333333333,0.019950556166634166,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
73,7.646326112747192,0.12189064553290153,1.6716256141662598,0.10347213544453679,0.37500000624999996,7.525,rbf,"{'C': 0.37500000624999996, 'gamma': 7.525, 'kernel': 'rbf'}",0.06777777777777778,0.07,0.06666666666666667,0.06666666666666667,0.06888888888888889,0.06799999999999999,0.0012957670877434021,106,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,7.635395050048828,0.12814931072154637,1.0930997848510742,0.06336540873569843,0.37500000624999996,7.525,sigmoid,"{'C': 0.37500000624999996, 'gamma': 7.525, 'kernel': 'sigmoid'}",0.06777777777777778,0.06666666666666667,0.06666666666666667,0.058888888888888886,0.06666666666666667,0.06533333333333333,0.0032508308529617335,164,0.06666666666666667,0.06694444444444445,0.06722222222222222,0.06833333333333333,0.06666666666666667,0.06716666666666667,0.0006186404847588901
75,3.0628905296325684,0.1695163469135577,0.7753257274627685,0.03985010763707009,0.37500000624999996,7.525,poly,"{'C': 0.37500000624999996, 'gamma': 7.525, 'kernel': 'poly'}",0.38222222222222224,0.35,0.4088888888888889,0.3488888888888889,0.3844444444444444,0.37488888888888894,0.02278834443252315,48,1.0,1.0,1.0,1.0,1.0,1.0,0.0
76,2.2699130058288572,0.06881092419230574,0.7741787910461426,0.018986510711808218,0.37500000624999996,10.0,linear,"{'C': 0.37500000624999996, 'gamma': 10.0, 'kernel': 'linear'}",0.4866666666666667,0.4588888888888889,0.48777777777777775,0.4411111111111111,0.4922222222222222,0.47333333333333333,0.019950556166634166,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
77,7.625057077407837,0.0423278818202689,1.6738687992095946,0.12525174981755968,0.37500000624999996,10.0,rbf,"{'C': 0.37500000624999996, 'gamma': 10.0, 'kernel': 'rbf'}",0.06777777777777778,0.07,0.06666666666666667,0.06666666666666667,0.06888888888888889,0.06799999999999999,0.0012957670877434021,106,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78,7.515608501434326,0.23957030696140308,1.049158525466919,0.009241586099570752,0.37500000624999996,10.0,sigmoid,"{'C': 0.37500000624999996, 'gamma': 10.0, 'kernel': 'sigmoid'}",0.06888888888888889,0.06666666666666667,0.06666666666666667,0.06444444444444444,0.06666666666666667,0.06666666666666665,0.0014054567378526132,152,0.06666666666666667,0.06722222222222222,0.06722222222222222,0.06833333333333333,0.06694444444444445,0.0672777777777778,0.0005665577237325302
79,3.1009029865264894,0.15774745160380743,0.771678352355957,0.04978789514082295,0.37500000624999996,10.0,poly,"{'C': 0.37500000624999996, 'gamma': 10.0, 'kernel': 'poly'}",0.38222222222222224,0.35,0.4088888888888889,0.3488888888888889,0.3844444444444444,0.37488888888888894,0.02278834443252315,48,1.0,1.0,1.0,1.0,1.0,1.0,0.0
80,2.253416347503662,0.06740887412570268,0.7638872146606446,0.012644681154517402,0.500000005,0.1,linear,"{'C': 0.500000005, 'gamma': 0.1, 'kernel': 'linear'}",0.4866666666666667,0.4588888888888889,0.48777777777777775,0.4411111111111111,0.4922222222222222,0.47333333333333333,0.019950556166634166,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
81,7.768204975128174,0.08745712340585028,1.7361510276794434,0.12781426095322063,0.500000005,0.1,rbf,"{'C': 0.500000005, 'gamma': 0.1, 'kernel': 'rbf'}",0.06777777777777778,0.07,0.06666666666666667,0.06666666666666667,0.06888888888888889,0.06799999999999999,0.0012957670877434021,106,1.0,1.0,1.0,1.0,1.0,1.0,0.0
82,7.904039192199707,0.20614374073745545,1.1276328086853027,0.03678554884922546,0.500000005,0.1,sigmoid,"{'C': 0.500000005, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.05333333333333334,0.04111111111111111,0.05,0.05444444444444444,0.05444444444444444,0.05066666666666666,0.005047918529600243,176,0.0475,0.051111111111111114,0.0475,0.05277777777777778,0.050277777777777775,0.04983333333333334,0.002068278940998476
83,3.138348436355591,0.27924339968068135,0.8079181671142578,0.09227336983492739,0.500000005,0.1,poly,"{'C': 0.500000005, 'gamma': 0.1, 'kernel': 'poly'}",0.37777777777777777,0.35,0.4122222222222222,0.3488888888888889,0.3844444444444444,0.37466666666666665,0.023616273945348112,83,1.0,1.0,1.0,1.0,1.0,1.0,0.0
84,2.343528413772583,0.24054450404347708,0.759656572341919,0.015534494944843104,0.500000005,2.575,linear,"{'C': 0.500000005, 'gamma': 2.575, 'kernel': 'linear'}",0.4866666666666667,0.4588888888888889,0.48777777777777775,0.4411111111111111,0.4922222222222222,0.47333333333333333,0.019950556166634166,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
85,7.547458076477051,0.07738624636415395,1.6736860752105713,0.107567506234904,0.500000005,2.575,rbf,"{'C': 0.500000005, 'gamma': 2.575, 'kernel': 'rbf'}",0.06777777777777778,0.07,0.06666666666666667,0.06666666666666667,0.06888888888888889,0.06799999999999999,0.0012957670877434021,106,1.0,1.0,1.0,1.0,1.0,1.0,0.0
86,7.535983037948609,0.2095468138817432,1.053127384185791,0.028177034810242068,0.500000005,2.575,sigmoid,"{'C': 0.500000005, 'gamma': 2.575, 'kernel': 'sigmoid'}",0.06111111111111111,0.06888888888888889,0.06888888888888889,0.06111111111111111,0.06666666666666667,0.06533333333333333,0.0035416394334464958,164,0.059444444444444446,0.06805555555555555,0.07166666666666667,0.06111111111111111,0.06666666666666667,0.06538888888888889,0.0045119867787215455
